gene	7	11
species	24	40
gene	155	159
gene	389	393
gene	459	463
species	525	532
species	538	548
gene	760	762
gene	766	768
gene	776	778
gene	785	787
gene	796	798
gene	893	897
gene	970	972
gene	976	980
gene	1073	1078
gene	1123	1125
species	1127	1131
gene	1133	1135
species	1136	1137
gene	1139	1143
gene	1245	1250
gene	1263	1265
species	1267	1271
gene	1273	1275
gene	1465	1467
species	1524	1536
gene	1538	1540
gene	1550	1555
species	1774	1790
gene	1845	1850
gene	2737	2742
species	2781	2803
species	2859	2875
gene	2982	2985
gene	3080	3083
gene	3136	3138
species	3154	3169
species	3188	3194
species	3213	3235
species	3402	3414
gene	3416	3419
gene	3468	3471
gene	3526	3529
species	3683	3695
gene	3697	3700
gene	3707	3709
gene	3711	3713
gene	3784	3787
species	3825	3841
gene	3881	3900
gene	3967	3970
species	3985	4005
species	4033	4043
gene	4045	4048
species	4153	4161
gene	4163	4166
gene	4172	4174
species	4235	4243
species	4299	4309
gene	4389	4392
species	4474	4482
gene	4535	4541
species	4565	4578
gene	4662	4664
species	4687	4696
gene	4754	4756
gene	4811	4813
species	4952	4981
gene	5026	5028
gene	5049	5052
gene	5100	5109
gene	5186	5195
species	5200	5229
gene	5290	5292
gene	5368	5370
gene	5489	5498
gene	5574	5580
species	5635	5650
species	5656	5672
gene	5680	5682
gene	5778	5780
gene	5861	5864
species	5948	5971
gene	6011	6013
species	6070	6092
gene	6154	6156
species	6282	6304
species	6336	6349
gene	6477	6479
species	6510	6516
gene	6599	6616
gene	6619	6621
gene	6672	6674
species	6694	6705
gene	6707	6709
gene	6724	6726
gene	6750	6753
gene	6770	6772
gene	6809	6812
species	6870	6886
gene	6888	6891
species	6965	6980
gene	7011	7014
gene	7166	7169
gene	7221	7224
gene	7254	7256
gene	7258	7263
species	7268	7281
gene	7404	7408
species	7459	7475
gene	7509	7512
gene	7665	7668
gene	7671	7674
gene	7677	7680
gene	7687	7690
gene	7693	7696
gene	7706	7709
gene	7744	7748
gene	7787	7790
gene	7796	7799
gene	7822	7826
gene	7921	7924
gene	7971	7975
gene	8016	8018
gene	8114	8118
gene	8121	8123
gene	8344	8349
gene	8365	8368
species	8396	8410
gene	8600	8603
species	8648	8656
gene	8721	8723
species	8857	8877
species	8931	8953
species	8970	8978
gene	9101	9104
species	9126	9134
gene	9202	9210
gene	9212	9217
gene	9248	9251
gene	9304	9306
gene	9312	9314
species	9319	9327
gene	9437	9443
gene	9458	9460
species	9527	9540
species	9568	9575
gene	9891	9895
gene	10026	10030
gene	10210	10214
gene	10286	10289
gene	10431	10435
gene	10481	10485
species	10492	10518
gene	10751	10753
gene	10836	10841
species	11104	11111
gene	11127	11129
gene	11198	11200
gene	11240	11242
gene	11318	11320
gene	11337	11339
species	11361	11371
species	11490	11500
species	11552	11563
species	11616	11623
species	11656	11672
gene	11678	11681
gene	11683	11685
gene	11687	11692
gene	11804	11806
gene	11917	11920
gene	11922	11924
gene	11926	11931
species	11959	11969
gene	12001	12003
gene	12062	12067
gene	12099	12102
gene	12104	12106
gene	12137	12140
gene	12187	12189
gene	12199	12201
gene	12274	12276
gene	12342	12345
gene	12347	12349
gene	12426	12428
gene	12453	12456
gene	12469	12471
gene	12613	12620
species	12634	12650
gene	12674	12678
gene	12686	12690
gene	12743	12745
gene	12769	12776
gene	12821	12826
gene	12870	12877
gene	12902	12906
gene	12917	12921
gene	13092	13099
gene	13288	13291
gene	13328	13341
gene	13445	13450
gene	13527	13530
gene	13536	13539
gene	13549	13551
species	13563	13579
gene	13608	13613
gene	13828	13831
gene	13834	13837
gene	13894	13896
person	13915	13920
date	13967	13970
gene	14011	14014
gene	14020	14023
gene	14029	14035
gene	14085	14088
gene	14090	14093
species	14098	14108
species	14111	14119
gene	14136	14139
species	14141	14144
species	14149	14165
gene	14172	14175
gene	14177	14180
gene	14186	14189
gene	14191	14194
gene	14197	14200
species	14205	14220
gene	14261	14264
gene	14275	14277
gene	14295	14298
gene	14365	14368
gene	14371	14374
species	14380	14386
species	14389	14395
gene	14409	14412
gene	14418	14421
species	14426	14445
gene	14521	14524
gene	14599	14602
gene	14607	14609
gene	14648	14650
gene	14676	14679
gene	14684	14687
gene	14731	14734
gene	14740	14743
species	14816	14822
gene	14844	14847
gene	14853	14856
gene	14862	14864
species	14953	14964
gene	14971	14973
gene	15036	15038
gene	15040	15045
species	15050	15076
gene	15122	15127
gene	15174	15177
gene	15221	15240
gene	15244	15247
gene	15250	15252
gene	15255	15258
gene	15270	15286
gene	15303	15319
